@context,@type,image,url,name,geo/@type,geo/latitude,geo/longitude,address/@type,address/streetAddress,address/addressLocality,address/addressRegion,address/postalCode,mainEntity/0/@type,mainEntity/0/name,mainEntity/0/acceptedAnswer/@type,mainEntity/0/acceptedAnswer/text,mainEntity/1/@type,mainEntity/1/name,mainEntity/1/acceptedAnswer/@type,mainEntity/1/acceptedAnswer/text,mainEntity/2/@type,mainEntity/2/name,mainEntity/2/acceptedAnswer/@type,mainEntity/2/acceptedAnswer/text,mainEntity/3/@type,mainEntity/3/name,mainEntity/3/acceptedAnswer/@type,mainEntity/3/acceptedAnswer/text,mainEntity/4/@type,mainEntity/4/name,mainEntity/4/acceptedAnswer/@type,mainEntity/4/acceptedAnswer/text,logo,description,sameAs/0,sameAs/1,sameAs/2,sameAs/3,sameAs/4,contactPoint/@type,contactPoint/telephone,contactPoint/contactType,contactPoint/areaServed
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/54876/237bbd41d022846ebae6ad56c0aec20f671ca261a7052808e94bb258072ad395dba3860a21ee326c/small_391994dfe0338ca52a302132f91cdf19.jpg,/bengaluru/new-guruvappana-palya/pg/6300-vijaya-classical-pg-for-gents/pgo-properties,Vijaya Classical PG for gents,GeoCoordinates,12.9162,77.60687,PostalAddress,New Guruvappana palya,"11th Main ,BTM 1st Stage",100 Feet Main Road,560076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/27973/6728b60578c1671f92774321132d455e9b5b76e30749d33cf0cb61fdf2f4da2f8800b882cbcbe55c/small_619dff00bff667dd0ba46bee84d2c49d.jpg,/bengaluru/btm-layout/pg/1929-sai-ram-pg/pgo-properties,Sai Ram PG,GeoCoordinates,12.918137,77.614045,PostalAddress,BTM Layout,"4th cross, 27th main",H No 202,560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/27981/70972ea98950679b746e6cb34467537726d19210e4136128357d06db7688cd6d7818070cf179bbc8/small_d55a6c43f2960024bd7b585fd7f4d679.jpg,/bengaluru/btm-layout/pg/1930-sri-sai-venkateswara/pgo-properties,Sri Sai Venkateswara,GeoCoordinates,12.918571,77.615111,PostalAddress,BTM Layout,"5th cross, 6th main",H No 73,560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/63765/b4f0089456ccb0cc707c2ffb4bb29b675b1afa0d23f25cdf317327c3e7c343805d56cefa5d28a88d/small_59ac863aa0dfc804a2e3d75be4a93aa4.jpg,/bengaluru/btm-2nd-layout/pg/7833-a-k-r-pg-2/pgo-properties,A.K.R.PG 2,GeoCoordinates,12.917789,77.612774,PostalAddress,BTM 2nd Layout,20th Main,3rd Cross,560076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/61935/39bdf15ad07b0a20ecadbc770bb757df579b8860a9414260868dda24270d6be8371ebf8a3b85a53c/small_a203b972fed6f22d66e4f9ffb4ab922a.jpg,/bengaluru/basaveshwar-nagar/pg/7406-vigneshwara-p-g-for-girls/pgo-properties,Vigneshwara P.G For Girls,GeoCoordinates,12.98659,77.53825,PostalAddress,Basaveshwar Nagar,2nd Stage,"75 ,5th Main Road A.D Halle",560079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/28013/aaa5dd256157094e7a13f71ea35e6a582b5df50a29f0186b85e42ad6f09252aab88694b5a8e8799b/small_e4980edbc2d46202ebdcc10f0d5a295c.jpg,/bengaluru/btm-layout/pg/1934-venkata-sai-lakshmi-pg/pgo-properties,Venkata sai Lakshmi PG,GeoCoordinates,12.918338,77.615002,PostalAddress,BTM Layout,"5th main , jai bheema nagar",H No 79,560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/51363/5a816105ce34551fcaf571b1af254ae21269bee97b95a7e9f2f67e40d8f4fad04409b662a4c27ff8/small_b860284a34b8480bd18305dfa5f72992.jpg,/bengaluru/btm-1st-stage/pg/5655-rao-s-venkata-krishna/pgo-properties,Rao&#39;s Venkata Krishna,GeoCoordinates,12.917515,77.612755,PostalAddress,BTM 1st Stage, 20th Main,1st Cross,560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/44874/2546162fbce1466956f80f1e590df0b50672b8cff564320994b1adb71b09a7673e1e3fb9390c2f0a/small_30c1a464cf0645889b42038049b827bd.jpg,/bengaluru/jai-bheemanagar/pg/4774-keshava-pg-for-boys/pgo-properties,Keshava PG for Boys,GeoCoordinates,12.918276,77.615192,PostalAddress,Jai Bheemanagar,Jai Bheemnagar,"#66 ,4th Main Road ",560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/71413/b8a8998803c8c471fb1a1e1287758758abad6443ee8cc76632bd9ac67668f73aef57a36640adcfdc/small_ffeb2e05a3c759a5a65a89ce4c1e179f.jpg,/bengaluru/new-thippasandra/pg/9722-vijetha-pg/pgo-properties,Vijetha PG ,GeoCoordinates,12.973773,77.652947,PostalAddress,New Thippasandra ,3rd Signal ,8 th Main Road Hal  ,560038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/57635/8880a9845fb0b04c465460be29150b2cf1c3350ce0fc9008ebb55b499c12a4808522d06ec2a10b28/small_35908d509fba53afc0ddeb17f673f956.jpg,/bengaluru/btm-layout/pg/8692-srinivasa-pg/pgo-properties,Srinivasa PG,GeoCoordinates,12.91751,77.61291,PostalAddress,BTM Layout,"20th Main,2nd Cross",#91,560076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
